"outcome","model","term","estimate","std.error","z","p.value","OR","OR_lo","OR_hi","p_fdr_BH","p_holm"
"q40_police","logit_HC3","support_awareness_z",-0.0612522023340709,0.205835862731663,-0.297577892992933,0.766025349412944,0.940585991877484,0.628329547309676,1.4080222900613,0.950583595794546,1
"q40_police","logit_HC3","seoul_policy_awareness_z",0.439922742233891,0.179668535836081,2.44852411239801,0.0143442828537258,1.55258726445396,1.09173962690854,2.20796896469765,0.153777325621609,0.459017051319225
"q40_police","logit_HC3","dig",0.054483072172319,0.109140861498658,0.499199579554252,0.617638790757739,1.0559946005678,0.852627077544589,1.30786908579035,0.950583595794546,1
"q40_police","logit_HC3","offcnt",-0.0923371099864016,0.0765020439121513,-1.20698879748146,0.227436458248321,0.911797721611955,0.784835516673967,1.05929849946141,0.773283958044293,1
"q40_police","logit_HC3","freq_ord_z",0.0351207240135516,0.128304057324526,0.273730424009265,0.784291795422996,1.0357447405144,0.805449132688397,1.33188692366282,0.950583595794546,1
"q40_police","logit_HC3","threat",0.0662932419244608,0.323893835684481,0.204675837020375,0.837825400003485,1.06854001195763,0.566352458710952,2.01601977636535,0.950583595794546,1
"q40_police","logit_HC3","intimate",-0.0694046981013678,0.454766827122635,-0.152616008824785,0.878701099681258,0.932949040962889,0.382606711901345,2.27490497672713,0.950583595794546,1
"q40_police","logit_HC3","known_nonint",-0.0881457196077626,0.494569844987815,-0.17822704012602,0.858544674728225,0.91562744212982,0.347322124912279,2.41382150069748,0.950583595794546,1
"q40_police","logit_HC3","gendered_case",0.200715049030053,0.283373053336752,0.70830675911703,0.478754780595368,1.22227643334077,0.70138653729353,2.13000906071712,0.950583595794546,1
"q40_police","logit_HC3","severe_coharm",0.893546711583175,0.316873167475166,2.81988758689453,0.00480404756093598,2.44378168790026,1.31321102657507,4.54768412483722,0.153777325621609,0.163337617071823
"q40_police","logit_HC3","region2",0.0683736686542274,0.605626862843776,0.112897351238967,0.91011193631116,1.07076534517906,0.326718941914505,3.50924993120371,0.950583595794546,1
"q40_police","logit_HC3","region3",-0.276234352889519,0.671172219125824,-0.411570003969031,0.680654621281168,0.758635121594173,0.203572738142206,2.82713320540087,0.950583595794546,1
"q40_police","logit_HC3","region4",-0.215349146670131,0.620542482727419,-0.347033688529469,0.728566009881541,0.806259888073517,0.238923368390096,2.72076779888252,0.950583595794546,1
"q40_police","logit_HC3","region5",-0.594353950144566,0.632705295100799,-0.93938513672448,0.34753304137835,0.55191901791427,0.159700302666767,1.90741405776209,0.950583595794546,1
"q40_police","firth_penalized","female",-0.307238005138392,0.275407180275947,NA,0.286536191300909,0.735475533118519,0.416400426742343,1.29441591006445,0.811852542019243,1
"q40_police","firth_penalized","age_cat10s",-0.136234890933501,0.754098445432186,NA,0.861709102440461,0.87263763374509,0.148879164168071,3.64976670538627,0.962498672349914,1
"q40_police","firth_penalized","age_cat30s",-0.910078575074141,0.357022679532126,NA,0.0132303398649154,0.402492596905457,0.19204650998555,0.827390106335759,0.112457888851781,0.410140535812377
"q40_police","firth_penalized","age_cat40s",-0.693478296376827,0.40069780128218,NA,0.0918713226339974,0.499834469497955,0.216383691858527,1.1180145597014,0.520604161592652,1
"q40_police","firth_penalized","age_cat50s",-0.688860645321196,0.44129087731576,NA,0.131679825573949,0.50214786778604,0.19880769829725,1.22649422593084,0.559639258689283,1
"q40_police","firth_penalized","age_cat60s",-0.184335406413658,0.433892459437693,NA,0.683696420735282,0.831656814012419,0.33898847619808,2.01330666069559,0.962498672349914,1
